tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
181.00;19357114#3_0;125.59;9.55;2.00;-0.83;19352058_0;5.10;10.49;tripinfo_283 routing_283;179.00;283;1;1623.80;0.94;0.00;22.14;DEFAULT_VEHTYPE;;0;0.00
211.00;329995330#4_1;24.83;8.73;23.00;-0.05;511366397_0;5.10;4.93;tripinfo_391 routing_391;188.00;391;1;1283.15;0.89;0.00;46.25;DEFAULT_VEHTYPE;;1;24.00
213.00;19357991#2_0;170.35;9.14;54.00;-0.47;-19359987_0;5.10;11.71;tripinfo_543 routing_543;159.00;543;1;1432.17;1.05;0.00;34.32;DEFAULT_VEHTYPE;;1;2.00
227.00;-19356452#2_0;92.05;10.91;4.00;-0.77;19355160#0_0;5.10;11.30;tripinfo_519 routing_519;223.00;519;1;2290.30;1.01;0.00;17.84;DEFAULT_VEHTYPE;;0;0.00
231.00;19357114#3_0;125.59;10.62;46.00;-0.90;19357539#1_0;5.10;11.47;tripinfo_571 routing_571;185.00;571;1;1834.07;1.03;0.00;22.44;DEFAULT_VEHTYPE;;0;0.00
244.00;19353333#2_1;50.87;10.76;106.00;-0.94;-511366397_0;5.10;5.62;tripinfo_399 routing_399;138.00;399;1;903.32;1.01;0.00;40.96;DEFAULT_VEHTYPE;;1;21.00
270.00;-19353264#0_0;86.48;11.23;11.00;-0.12;19353318_0;5.10;12.10;tripinfo_245 routing_245;259.00;245;1;1988.68;1.08;0.00;91.70;DEFAULT_VEHTYPE;;2;67.00
277.00;19352131#9_1;48.41;11.26;105.00;-0.18;576756561#0_0;5.10;11.38;tripinfo_508 routing_508;172.00;508;1;1691.31;1.02;0.00;19.91;DEFAULT_VEHTYPE;;0;0.00
278.00;19357991#1_0;101.31;10.26;167.00;-0.76;-19352037_0;5.10;13.10;tripinfo_567 routing_567;111.00;567;1;1193.57;1.17;0.00;18.49;DEFAULT_VEHTYPE;;0;0.00
282.00;-19352131#5_1;49.62;10.42;70.00;-0.72;19352037_0;5.10;11.08;tripinfo_597 routing_597;212.00;597;1;2097.22;0.99;0.00;19.85;DEFAULT_VEHTYPE;;0;0.00
288.00;-440717074#4_1;104.00;9.11;76.00;-0.76;-19356025#1_0;5.10;9.82;tripinfo_551 routing_551;212.00;551;1;1667.75;0.88;0.00;41.02;DEFAULT_VEHTYPE;;1;23.00
291.00;-19357991#1_0;101.66;11.81;101.00;-0.43;-19352058_0;5.10;12.95;tripinfo_223 routing_223;190.00;223;1;1670.04;1.16;0.00;59.26;DEFAULT_VEHTYPE;;1;14.00
297.00;-19357839_0;87.22;10.47;107.00;-0.93;-19358499#1_1;5.10;10.90;tripinfo_367 routing_367;190.00;367;1;1452.91;0.98;0.00;53.09;DEFAULT_VEHTYPE;;1;26.00
299.00;329995330#8_1;24.23;12.53;150.00;-0.40;511366397_0;5.10;6.29;tripinfo_318 routing_318;149.00;318;1;1435.68;1.13;0.00;25.19;DEFAULT_VEHTYPE;;0;0.00
303.00;19359517#0_1;194.68;12.62;159.00;-0.54;-19360850#0_0;5.10;12.91;tripinfo_649 routing_649;144.00;649;1;1610.47;1.15;0.00;16.71;DEFAULT_VEHTYPE;;1;1.00
304.00;-329995277#2_1;69.27;9.11;145.00;-0.86;19358136#4_0;5.10;10.25;tripinfo_647 routing_647;159.00;647;1;1295.58;0.92;0.00;29.15;DEFAULT_VEHTYPE;;0;0.00
315.00;-19354933_0;349.65;12.63;153.00;-0.62;19359987_0;5.10;13.18;tripinfo_565 routing_565;162.00;565;1;1580.69;1.18;0.00;40.27;DEFAULT_VEHTYPE;;1;22.00
319.00;19353264#3_0;46.83;8.68;37.00;-0.70;19359987_0;5.10;9.58;tripinfo_526 routing_526;282.00;526;1;2129.81;0.86;0.00;56.43;DEFAULT_VEHTYPE;;1;29.00
327.00;19357539#1_0;239.69;11.15;16.00;-0.72;-19352058_0;5.10;11.52;tripinfo_88 routing_88;311.00;88;1;2601.85;1.03;0.00;83.39;DEFAULT_VEHTYPE;;2;48.00
339.00;19354745#1_1;5.01;10.70;278.00;-0.44;-19352285#7_1;5.10;12.77;tripinfo_618 routing_618;61.00;618;1;678.10;1.14;0.00;7.08;DEFAULT_VEHTYPE;;0;0.00
344.00;-19352131#10_1;34.15;10.66;200.00;-0.43;19359987_0;5.10;10.70;tripinfo_503 routing_503;144.00;503;1;1356.70;0.96;0.00;14.55;DEFAULT_VEHTYPE;;0;0.00
352.00;-19351857#5_1;7.04;10.93;19.00;-0.61;-19355160#3_0;5.10;11.69;tripinfo_412 routing_412;333.00;412;1;3555.99;1.05;0.00;26.75;DEFAULT_VEHTYPE;;0;0.00
366.00;-19356382#34_1;51.22;10.86;259.00;-0.99;-19354572#0_0;5.10;11.22;tripinfo_699 routing_699;107.00;699;1;1010.06;1.00;0.00;14.53;DEFAULT_VEHTYPE;;0;0.00
367.00;-19361189#2_0;49.18;9.20;81.00;-0.63;-511366397_0;5.10;5.21;tripinfo_111 routing_111;286.00;111;1;2135.85;0.94;0.00;63.38;DEFAULT_VEHTYPE;;4;18.00
370.00;19354328_0;144.90;9.39;153.00;-0.28;-19355160#0_0;5.10;10.41;tripinfo_546 routing_546;217.00;546;1;2047.25;0.93;0.00;17.73;DEFAULT_VEHTYPE;;0;0.00
386.00;19352126#0_0;27.77;8.84;225.00;0.93;-19358499#0_1;5.10;9.01;tripinfo_362 routing_362;161.00;362;1;1170.66;0.85;0.00;33.97;DEFAULT_VEHTYPE;;1;11.00
390.00;19354574#0_0;54.99;9.21;36.00;-0.86;-19352058_0;5.10;10.49;tripinfo_198 routing_198;354.00;198;1;2897.77;0.94;0.00;72.22;DEFAULT_VEHTYPE;;1;35.00
395.00;19352037_0;416.55;11.72;0.00;-0.79;-19358499#1_1;5.10;11.85;tripinfo_63 routing_63;395.00;63;1;3134.22;1.06;0.00;130.62;DEFAULT_VEHTYPE;;3;64.00
