tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
406.00;-19357968_0;129.14;12.37;240.00;-0.79;19357539#1_0;5.10;13.07;tripinfo_534 routing_534;166.00;534;1;1921.73;1.17;0.00;15.72;DEFAULT_VEHTYPE;;0;0.00
411.00;19353264#0_0;86.48;9.90;73.00;-0.98;-661061477#0_1;5.10;10.36;tripinfo_587 routing_587;338.00;587;1;2830.71;0.93;0.00;61.47;DEFAULT_VEHTYPE;;1;30.00
412.00;19352285#12_1;71.43;10.00;179.00;-0.52;-19358499#0_1;5.10;10.88;tripinfo_137 routing_137;233.00;137;1;2049.40;0.97;0.00;41.38;DEFAULT_VEHTYPE;;3;3.00
412.00;661061473#0_1;18.95;9.35;302.00;-0.92;-19353591#1_0;5.10;11.36;tripinfo_654 routing_654;110.00;654;1;1009.10;1.02;0.00;19.51;DEFAULT_VEHTYPE;;2;2.00
431.00;19354792#0_1;69.36;9.24;108.00;-0.25;-19358928_0;5.10;9.95;tripinfo_694 routing_694;323.00;694;1;2719.90;0.89;0.00;46.38;DEFAULT_VEHTYPE;;4;4.00
434.00;-19358927#4_0;71.23;11.73;39.00;-0.03;19355636_0;5.10;12.19;tripinfo_142 routing_142;395.00;142;1;3613.21;1.09;0.00;92.50;DEFAULT_VEHTYPE;;1;12.00
434.00;329995330#6_1;32.22;8.77;114.00;-0.89;19352058_0;5.10;9.23;tripinfo_370 routing_370;320.00;370;1;2183.98;0.83;0.00;78.50;DEFAULT_VEHTYPE;;2;41.00
435.00;-19356382#35_1;4.71;9.75;284.00;-0.18;-19357988_0;5.10;10.84;tripinfo_609 routing_609;151.00;609;1;1399.19;0.97;0.00;18.68;DEFAULT_VEHTYPE;;0;0.00
441.00;-19350124_0;51.79;11.05;202.00;-0.94;-511366397_0;5.10;6.07;tripinfo_256 routing_256;239.00;256;1;2281.76;1.09;0.00;36.52;DEFAULT_VEHTYPE;;0;0.00
451.00;-19353092#6_0;230.32;10.95;211.00;-0.05;-19358499#1_1;5.10;12.16;tripinfo_165 routing_165;240.00;165;1;2038.39;1.09;0.00;69.84;DEFAULT_VEHTYPE;;4;18.00
453.00;661061473#1_1;17.50;9.25;306.00;-0.30;-19354956#1_1;5.10;9.86;tripinfo_661 routing_661;147.00;661;1;1150.60;0.88;0.00;28.68;DEFAULT_VEHTYPE;;3;3.00
478.00;-19357057#5_0;92.53;10.34;243.00;-0.94;19357539#1_0;5.10;11.37;tripinfo_511 routing_511;235.00;511;1;2015.52;1.02;0.00;55.50;DEFAULT_VEHTYPE;;1;37.00
486.00;19352131#10_1;34.15;9.04;222.00;-0.36;19355636_0;5.10;9.80;tripinfo_264 routing_264;264.00;264;1;2051.31;0.88;0.00;50.14;DEFAULT_VEHTYPE;;1;17.00
489.00;-19357057#4_0;43.74;9.90;272.00;-0.92;-19355160#3_0;5.10;10.05;tripinfo_502 routing_502;217.00;502;1;1933.19;0.90;0.00;21.57;DEFAULT_VEHTYPE;;0;0.00
498.00;-19356025#1_0;443.61;8.84;18.00;-0.39;-19352058_0;5.10;9.29;tripinfo_9 routing_9;480.00;9;1;3161.92;0.83;0.00;135.72;DEFAULT_VEHTYPE;;3;93.00
498.00;329995319#1_1;4.11;9.37;327.00;-0.86;19358499#0_1;5.10;10.51;tripinfo_343 routing_343;171.00;343;1;1537.26;0.94;0.00;23.22;DEFAULT_VEHTYPE;;0;0.00
500.00;19359987_0;174.26;10.35;169.00;-0.75;-19358499#0_1;5.10;11.12;tripinfo_92 routing_92;331.00;92;1;2710.75;0.99;0.00;86.50;DEFAULT_VEHTYPE;;1;49.00
500.00;19358324_0;92.56;10.76;320.00;-0.66;-19358499#0_1;5.10;11.63;tripinfo_326 routing_326;180.00;326;1;1653.54;1.04;0.00;34.41;DEFAULT_VEHTYPE;;1;7.00
505.00;19351859#2_0;56.35;10.76;208.00;-0.04;19353318_0;5.10;11.67;tripinfo_333 routing_333;297.00;333;1;2015.45;1.04;0.00;118.69;DEFAULT_VEHTYPE;;3;60.00
511.00;19352770_0;143.12;9.86;77.00;-0.89;-576756561#0_0;5.10;10.52;tripinfo_418 routing_418;434.00;418;1;4120.64;0.94;0.00;38.02;DEFAULT_VEHTYPE;;0;0.00
525.00;-19354183#1_0;14.66;7.68;340.00;-0.73;-19358499#1_1;5.10;10.68;tripinfo_369 routing_369;185.00;369;1;1661.16;0.96;0.00;25.20;DEFAULT_VEHTYPE;;0;0.00
530.00;-19353551#10_1;41.99;10.69;389.00;-0.08;19358587#0_1;5.10;11.66;tripinfo_667 routing_667;141.00;667;1;1317.14;1.04;0.00;25.83;DEFAULT_VEHTYPE;;2;2.00
533.00;19357057#4_0;43.74;9.11;312.00;-0.98;-19358499#0_1;5.10;10.14;tripinfo_260 routing_260;221.00;260;1;1500.47;0.91;0.00;73.33;DEFAULT_VEHTYPE;;1;48.00
543.00;19360353#2_0;47.03;9.48;214.00;-0.16;19355636_0;5.10;10.07;tripinfo_147 routing_147;329.00;147;1;2667.45;0.90;0.00;57.03;DEFAULT_VEHTYPE;;1;11.00
551.00;19352901#1_0;127.66;10.58;302.00;-0.97;19352037_0;5.10;11.03;tripinfo_547 routing_547;249.00;547;1;2335.17;0.99;0.00;33.01;DEFAULT_VEHTYPE;;0;0.00
557.00;19350124_0;51.79;10.56;342.00;-0.66;19352037_0;5.10;11.54;tripinfo_561 routing_561;215.00;561;1;2172.24;1.03;0.00;23.00;DEFAULT_VEHTYPE;;0;0.00
560.00;-19359987_0;174.26;10.89;212.00;-0.57;-19358499#0_1;5.10;11.15;tripinfo_68 routing_68;348.00;68;1;2837.55;1.00;0.00;93.62;DEFAULT_VEHTYPE;;3;54.00
560.00;-19357968_0;129.14;11.43;335.00;-0.03;19352037_0;5.10;11.80;tripinfo_593 routing_593;225.00;593;1;2347.31;1.06;0.00;22.11;DEFAULT_VEHTYPE;;0;0.00
561.00;19354772_1;94.99;9.47;441.00;-0.70;-19361189#3_0;5.10;10.70;tripinfo_656 routing_656;120.00;656;1;1090.29;0.96;0.00;15.68;DEFAULT_VEHTYPE;;0;0.00
563.00;-329995330#6_1;32.15;9.32;187.00;-0.53;19353318_0;5.10;10.07;tripinfo_378 routing_378;376.00;378;1;2551.68;0.90;0.00;115.41;DEFAULT_VEHTYPE;;6;57.00
564.00;19358928_0;80.64;8.89;116.00;-0.59;19358499#0_1;5.10;9.76;tripinfo_129 routing_129;448.00;129;1;3624.67;0.87;0.00;70.68;DEFAULT_VEHTYPE;;1;21.00
564.00;19361005#0_0;121.74;12.81;182.00;-0.42;19357539#0_0;5.10;13.19;tripinfo_457 routing_457;382.00;457;1;4031.71;1.18;0.00;74.60;DEFAULT_VEHTYPE;;0;0.00
564.00;19353264#5_0;78.76;9.70;305.00;-0.15;-19355636_0;5.10;10.48;tripinfo_268 routing_268;259.00;268;1;1869.41;0.94;0.00;77.89;DEFAULT_VEHTYPE;;2;50.00
569.00;-19352285#14_1;53.24;10.96;196.00;-0.41;19358499#0_1;5.10;11.52;tripinfo_106 routing_106;373.00;106;1;3056.18;1.03;0.00;104.74;DEFAULT_VEHTYPE;;4;48.00
570.00;-19353816#2_0;133.40;10.53;340.00;-0.80;19355160#3_0;5.10;11.01;tripinfo_582 routing_582;230.00;582;1;2214.23;0.98;0.00;24.46;DEFAULT_VEHTYPE;;0;0.00
570.00;-19359071#0_0;148.37;10.94;357.00;-0.13;-511366397_0;5.10;6.04;tripinfo_207 routing_207;213.00;207;1;1818.55;1.09;0.00;48.06;DEFAULT_VEHTYPE;;2;17.00
578.00;-19356535#8_0;156.23;11.53;292.00;-0.21;-19353318_0;5.10;12.10;tripinfo_197 routing_197;286.00;197;1;2300.16;1.08;0.00;88.91;DEFAULT_VEHTYPE;;1;43.00
579.00;19354772_1;94.99;10.02;395.00;-0.17;19358587#0_1;5.10;11.26;tripinfo_648 routing_648;184.00;648;1;1779.95;1.01;0.00;22.85;DEFAULT_VEHTYPE;;0;0.00
586.00;-19353686#7_1;25.29;10.65;395.00;-0.23;-19358136#3_0;5.10;11.43;tripinfo_691 routing_691;191.00;691;1;1691.92;1.02;0.00;38.85;DEFAULT_VEHTYPE;;2;2.00
598.00;576756561#0_0;90.89;10.48;207.00;-0.72;19355636_0;5.10;11.60;tripinfo_62 routing_62;391.00;62;1;2958.33;1.04;0.00;132.92;DEFAULT_VEHTYPE;;3;96.00
600.00;-19356627_0;50.32;10.74;382.00;-0.07;-19358499#1_1;5.10;10.91;tripinfo_350 routing_350;218.00;350;1;1720.70;0.98;0.00;54.65;DEFAULT_VEHTYPE;;1;20.00
604.00;-19352037_0;416.63;11.83;55.00;-0.65;19358499#1_1;5.10;12.55;tripinfo_5 routing_5;549.00;5;1;4131.15;1.12;0.00;218.08;DEFAULT_VEHTYPE;;5;151.00
607.00;19352901#0_0;179.64;11.52;422.00;-0.38;19352058_0;5.10;11.82;tripinfo_299 routing_299;185.00;299;1;1438.14;1.06;0.00;60.78;DEFAULT_VEHTYPE;;2;30.00
613.00;-19352542_0;156.76;10.40;326.00;-0.27;19355636_0;5.10;10.88;tripinfo_180 routing_180;287.00;180;1;2504.27;0.97;0.00;49.04;DEFAULT_VEHTYPE;;0;0.00
618.00;-19356054_0;65.01;10.79;280.00;-0.53;19353318_0;5.10;11.44;tripinfo_356 routing_356;338.00;356;1;2676.82;1.02;0.00;98.40;DEFAULT_VEHTYPE;;2;49.00
619.00;-19358136#3_0;49.63;10.83;349.00;-0.67;-19358499#1_1;5.10;10.98;tripinfo_183 routing_183;270.00;183;1;2366.54;0.98;0.00;50.84;DEFAULT_VEHTYPE;;3;3.00
628.00;-19359704_0;76.65;9.45;146.00;-0.94;19355160#0_0;5.10;10.61;tripinfo_400 routing_400;482.00;400;1;4618.62;0.95;0.00;41.94;DEFAULT_VEHTYPE;;0;0.00
633.00;-19354615_0;155.66;10.41;171.00;-0.44;-19359987_0;5.10;11.40;tripinfo_405 routing_405;462.00;405;1;4571.28;1.02;0.00;56.21;DEFAULT_VEHTYPE;;0;0.00
643.00;-19355160#0_0;438.84;11.18;163.00;-0.02;-19358499#1_1;5.10;11.24;tripinfo_19 routing_19;480.00;19;1;3771.74;1.01;0.00;142.92;DEFAULT_VEHTYPE;;3;85.00
646.00;19353810#1_0;58.53;10.70;260.00;-0.97;19359987_0;5.10;11.14;tripinfo_422 routing_422;386.00;422;1;3516.77;1.00;0.00;67.41;DEFAULT_VEHTYPE;;2;27.00
646.00;-19352285#12_1;71.70;11.44;294.00;-0.01;19356025#1_0;5.10;12.51;tripinfo_408 routing_408;352.00;408;1;4030.41;1.12;0.00;27.71;DEFAULT_VEHTYPE;;0;0.00
651.00;19358435_0;138.57;11.28;244.00;-0.16;19358499#0_1;5.10;12.25;tripinfo_274 routing_274;407.00;274;1;3311.29;1.10;0.00;134.32;DEFAULT_VEHTYPE;;2;86.00
663.00;-19357991#2_0;170.34;10.22;482.00;-0.04;19357539#1_0;5.10;10.73;tripinfo_592 routing_592;181.00;592;1;1646.80;0.96;0.00;24.28;DEFAULT_VEHTYPE;;0;0.00
669.00;329995330#6_1;32.22;10.90;368.00;-0.31;19352058_0;5.10;11.37;tripinfo_393 routing_393;301.00;393;1;2183.98;1.02;0.00;105.47;DEFAULT_VEHTYPE;;3;69.00
674.00;-19355160#3_0;95.80;11.47;186.00;-0.01;19358499#0_1;5.10;12.32;tripinfo_73 routing_73;488.00;73;1;4571.57;1.10;0.00;113.73;DEFAULT_VEHTYPE;;3;60.00
690.00;-19357057#4_0;43.74;11.09;541.00;-0.66;-19352037_0;5.10;11.28;tripinfo_584 routing_584;149.00;584;1;1540.13;1.01;0.00;10.60;DEFAULT_VEHTYPE;;0;0.00
695.00;-19353686#2_1;41.40;9.74;442.00;-0.81;596607447#3_0;5.10;10.82;tripinfo_650 routing_650;253.00;650;1;2281.09;0.97;0.00;37.69;DEFAULT_VEHTYPE;;3;3.00
703.00;-19353551#4_1;58.69;10.25;569.00;-0.90;-19358136#2_0;5.10;11.08;tripinfo_642 routing_642;134.00;642;1;1200.73;0.99;0.00;21.98;DEFAULT_VEHTYPE;;1;1.00
717.00;19356432_0;56.91;11.27;429.00;-0.67;-511366397_0;5.10;6.24;tripinfo_208 routing_208;288.00;208;1;2200.86;1.12;0.00;97.44;DEFAULT_VEHTYPE;;3;44.00
718.00;661061477#0_1;330.06;8.32;238.00;-0.38;511366397_0;5.10;4.75;tripinfo_27 routing_27;480.00;27;1;3465.07;0.85;0.00;105.48;DEFAULT_VEHTYPE;;3;63.00
725.00;19357114#3_0;125.59;11.91;527.00;-0.29;-19356025#1_0;5.10;12.28;tripinfo_570 routing_570;198.00;570;1;2147.69;1.10;0.00;21.25;DEFAULT_VEHTYPE;;0;0.00
733.00;-19356535#5_0;52.33;9.14;314.00;-0.38;19355160#0_0;5.10;10.23;tripinfo_413 routing_413;419.00;413;1;3858.49;0.91;0.00;39.44;DEFAULT_VEHTYPE;;1;1.00
748.00;-19353264#3_0;46.83;10.64;446.00;-0.89;-19355636_0;5.10;10.65;tripinfo_259 routing_259;302.00;259;1;1918.45;0.95;0.00;117.86;DEFAULT_VEHTYPE;;4;83.00
756.00;19355160#3_0;95.80;10.03;353.00;-0.09;19353318_0;5.10;11.26;tripinfo_49 routing_49;403.00;49;1;3185.86;1.01;0.00;116.27;DEFAULT_VEHTYPE;;3;76.00
759.00;19355160#3_0;95.80;11.62;381.00;-0.92;19353318_0;5.10;12.83;tripinfo_7 routing_7;378.00;7;1;3185.86;1.15;0.00;124.43;DEFAULT_VEHTYPE;;2;47.00
766.00;-19358038#0_1;302.90;9.42;668.00;-0.80;19354710#0_0;5.10;10.66;tripinfo_639 routing_639;98.00;639;1;910.57;0.95;0.00;9.41;DEFAULT_VEHTYPE;;0;0.00
775.00;-329995277#2_1;69.27;11.81;673.00;-0.42;19356535#8_0;5.10;13.02;tripinfo_689 routing_689;102.00;689;1;1046.60;1.16;0.00;18.93;DEFAULT_VEHTYPE;;0;0.00
781.00;19355160#0_0;438.81;10.37;423.00;-0.68;19352058_0;5.10;7.92;tripinfo_33 routing_33;358.00;33;1;2759.07;1.01;0.00;111.78;DEFAULT_VEHTYPE;;2;62.00
783.00;-19353816#2_0;133.40;10.11;464.00;-0.16;-511366397_0;5.10;5.64;tripinfo_205 routing_205;319.00;205;1;2442.81;1.01;0.00;84.71;DEFAULT_VEHTYPE;;2;39.00
784.00;19355160#0_0;438.81;10.95;322.00;-0.82;19358499#0_1;5.10;11.43;tripinfo_98 routing_98;462.00;98;1;4134.79;1.02;0.00;99.29;DEFAULT_VEHTYPE;;2;47.00
787.00;-19352037_0;416.63;11.09;325.00;-0.69;-19358499#0_1;5.10;11.44;tripinfo_70 routing_70;462.00;70;1;3363.36;1.02;0.00;167.25;DEFAULT_VEHTYPE;;3;124.00
795.00;-19355160#3_0;95.80;10.72;386.00;-0.17;-19358499#1_1;5.10;11.20;tripinfo_65 routing_65;409.00;65;1;3861.32;1.00;0.00;61.21;DEFAULT_VEHTYPE;;2;4.00
798.00;-576756561#0_0;90.89;11.10;363.00;-0.29;19353318_0;5.10;11.57;tripinfo_50 routing_50;435.00;50;1;3224.31;1.03;0.00;153.64;DEFAULT_VEHTYPE;;3;104.00
803.00;-661061473#0_1;18.95;10.58;591.00;-0.35;19351857#5_1;5.10;11.53;tripinfo_634 routing_634;212.00;634;1;1982.38;1.03;0.00;36.17;DEFAULT_VEHTYPE;;3;3.00
822.00;19355160#3_0;95.80;12.14;433.00;-0.87;511366397_0;5.10;6.10;tripinfo_30 routing_30;389.00;30;1;3501.11;1.10;0.00;91.49;DEFAULT_VEHTYPE;;1;42.00
822.00;19354956#5_1;6.68;10.06;574.00;-0.15;511366397_0;5.10;5.23;tripinfo_176 routing_176;248.00;176;1;2005.87;0.94;0.00;46.48;DEFAULT_VEHTYPE;;4;4.00
824.00;-19357991#1_0;101.66;12.43;636.00;-0.26;19356025#1_0;5.10;12.50;tripinfo_529 routing_529;188.00;529;1;2076.54;1.12;0.00;19.62;DEFAULT_VEHTYPE;;0;0.00
824.00;19353551#8_1;21.95;11.11;660.00;-0.40;-19354074_0;5.10;11.60;tripinfo_671 routing_671;164.00;671;1;1616.58;1.04;0.00;20.68;DEFAULT_VEHTYPE;;1;1.00
825.00;661061477#0_1;330.06;11.01;363.00;-0.53;19358499#1_1;5.10;11.16;tripinfo_87 routing_87;462.00;87;1;4168.10;1.00;0.00;87.21;DEFAULT_VEHTYPE;;2;42.00
825.00;-19356382#32_1;34.20;11.05;612.00;-0.07;-19354956#5_1;5.10;11.86;tripinfo_619 routing_619;213.00;619;1;1552.00;1.06;0.00;79.45;DEFAULT_VEHTYPE;;4;42.00
827.00;329995330#0_1;32.74;11.11;573.00;-0.43;19355636_0;5.10;11.97;tripinfo_336 routing_336;254.00;336;1;2143.04;1.07;0.00;70.67;DEFAULT_VEHTYPE;;2;31.00
834.00;-19352285#6_1;39.99;8.30;409.00;-0.79;19357539#1_0;5.10;9.32;tripinfo_444 routing_444;425.00;444;1;3512.29;0.83;0.00;41.99;DEFAULT_VEHTYPE;;0;0.00
834.00;-576756561#0_0;90.89;10.76;436.00;-0.43;19355636_0;5.10;11.91;tripinfo_26 routing_26;398.00;26;1;3154.00;1.07;0.00;130.52;DEFAULT_VEHTYPE;;3;90.00
843.00;19352542_0;156.76;11.30;456.00;-0.61;19355160#0_0;5.10;11.99;tripinfo_445 routing_445;387.00;445;1;3710.78;1.07;0.00;74.07;DEFAULT_VEHTYPE;;0;0.00
845.00;19357114#2_0;100.29;10.61;640.00;-0.55;-19355636_0;5.10;11.27;tripinfo_266 routing_266;205.00;266;1;1537.14;1.01;0.00;66.69;DEFAULT_VEHTYPE;;1;43.00
846.00;19357057#3_0;46.74;9.90;558.00;-0.66;19356025#1_0;5.10;10.31;tripinfo_538 routing_538;288.00;538;1;2660.40;0.92;0.00;26.40;DEFAULT_VEHTYPE;;0;0.00
847.00;19355479#2_0;64.79;10.58;763.00;-0.08;511366397_0;5.10;5.85;tripinfo_325 routing_325;84.00;325;1;600.61;1.05;0.00;22.52;DEFAULT_VEHTYPE;;1;10.00
849.00;19352868_0;180.70;10.15;396.00;-0.42;19355160#3_0;5.10;11.37;tripinfo_447 routing_447;453.00;447;1;4634.69;1.02;0.00;40.32;DEFAULT_VEHTYPE;;0;0.00
858.00;-19353092#1_0;58.46;9.94;568.00;-0.32;-19352058_0;5.10;11.23;tripinfo_152 routing_152;290.00;152;1;2039.54;1.00;0.00;102.93;DEFAULT_VEHTYPE;;5;47.00
861.00;-19357057#3_0;46.74;10.87;665.00;-0.77;-19352058_0;5.10;11.35;tripinfo_293 routing_293;196.00;293;1;1174.46;1.02;0.00;89.50;DEFAULT_VEHTYPE;;2;68.00
863.00;19352285#14_1;53.24;10.32;592.00;-0.10;-19352058_0;5.10;11.44;tripinfo_143 routing_143;271.00;143;1;2376.16;1.02;0.00;60.01;DEFAULT_VEHTYPE;;1;22.00
867.00;19354328_0;144.90;11.34;647.00;-0.45;-661061477#0_1;5.10;11.94;tripinfo_569 routing_569;220.00;569;1;2162.72;1.07;0.00;36.76;DEFAULT_VEHTYPE;;1;13.00
875.00;-19353551#8_1;21.69;12.08;663.00;-0.68;19354615_0;5.10;12.52;tripinfo_687 routing_687;212.00;687;1;2232.21;1.12;0.00;29.37;DEFAULT_VEHTYPE;;1;1.00
881.00;-19352131#5_1;49.62;11.20;666.00;-0.97;-19353318_0;5.10;11.22;tripinfo_277 routing_277;215.00;277;1;1713.72;1.00;0.00;59.98;DEFAULT_VEHTYPE;;1;29.00
884.00;19357539#1_0;239.69;11.57;476.00;-0.94;19358499#1_1;5.10;11.90;tripinfo_1 routing_1;408.00;1;1;3962.68;1.06;0.00;74.04;DEFAULT_VEHTYPE;;2;27.00
885.00;19353551#9_1;3.02;8.25;740.00;-0.89;-19354575#0_0;5.10;13.18;tripinfo_602 routing_602;145.00;602;1;1582.69;1.18;0.00;21.98;DEFAULT_VEHTYPE;;1;1.00
888.00;-19351910#1_0;129.61;10.34;663.00;-0.46;19355636_0;5.10;11.31;tripinfo_296 routing_296;225.00;296;1;1736.55;1.01;0.00;68.72;DEFAULT_VEHTYPE;;2;42.00
890.00;19352285#14_1;53.24;8.85;452.00;-0.31;19355160#0_0;5.10;9.99;tripinfo_426 routing_426;438.00;426;1;3951.28;0.89;0.00;39.62;DEFAULT_VEHTYPE;;0;0.00
896.00;-378219319_0;127.36;10.08;425.00;-0.10;-19352037_0;5.10;10.13;tripinfo_437 routing_437;471.00;437;1;4329.12;0.91;0.00;40.22;DEFAULT_VEHTYPE;;0;0.00
898.00;-576756561#0_0;90.89;9.18;410.00;-0.68;-19358499#1_1;5.10;10.30;tripinfo_42 routing_42;488.00;42;1;3622.90;0.92;0.00;136.85;DEFAULT_VEHTYPE;;3;94.00
912.00;19354956#5_1;6.68;9.24;505.00;-0.51;19355636_0;5.10;9.68;tripinfo_178 routing_178;407.00;178;1;2915.45;0.87;0.00;97.56;DEFAULT_VEHTYPE;;6;36.00
