tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
417.00;661061473#0_1;18.95;10.91;302.00;-0.92;-19353591#1_0;5.10;11.36;tripinfo_654 routing_654;115.00;654;1;1009.10;1.02;0.00;23.56;DEFAULT_VEHTYPE;;2;2.00
433.00;19354574#0_0;54.99;9.65;36.00;-0.86;-19352058_0;5.10;10.49;tripinfo_198 routing_198;397.00;198;1;3084.77;0.94;0.00;100.23;DEFAULT_VEHTYPE;;2;63.00
434.00;19354792#0_1;69.36;8.81;108.00;-0.25;-19358928_0;5.10;9.95;tripinfo_694 routing_694;326.00;694;1;2719.90;0.89;0.00;49.33;DEFAULT_VEHTYPE;;4;4.00
435.00;-19356382#35_1;4.71;10.51;284.00;-0.18;-19357988_0;5.10;10.84;tripinfo_609 routing_609;151.00;609;1;1399.19;0.97;0.00;18.42;DEFAULT_VEHTYPE;;0;0.00
436.00;19351859#2_0;56.35;11.09;208.00;-0.04;19353318_0;5.10;11.67;tripinfo_333 routing_333;228.00;333;1;2018.27;1.04;0.00;49.53;DEFAULT_VEHTYPE;;3;3.00
438.00;-19350124_0;51.79;11.18;202.00;-0.94;-511366397_0;5.10;6.07;tripinfo_256 routing_256;236.00;256;1;2276.64;1.09;0.00;34.55;DEFAULT_VEHTYPE;;0;0.00
451.00;661061473#1_1;17.50;9.34;306.00;-0.30;-19354956#1_1;5.10;9.86;tripinfo_661 routing_661;145.00;661;1;1150.60;0.88;0.00;26.86;DEFAULT_VEHTYPE;;3;3.00
455.00;-19353092#6_0;230.32;12.04;211.00;-0.05;-19358499#1_1;5.10;12.16;tripinfo_165 routing_165;244.00;165;1;2027.37;1.09;0.00;75.03;DEFAULT_VEHTYPE;;3;25.00
463.00;19352285#12_1;71.43;9.95;179.00;-0.52;-19358499#0_1;5.10;10.88;tripinfo_137 routing_137;284.00;137;1;2038.38;0.97;0.00;94.82;DEFAULT_VEHTYPE;;4;56.00
473.00;19352126#0_0;27.77;8.40;225.00;0.93;-19358499#0_1;5.10;8.46;tripinfo_362 routing_362;248.00;362;1;1159.64;0.85;0.00;122.70;DEFAULT_VEHTYPE;;2;98.00
478.00;-19358927#4_0;71.23;12.08;39.00;-0.03;19355636_0;5.10;12.19;tripinfo_142 routing_142;439.00;142;1;3800.21;1.09;0.00;124.15;DEFAULT_VEHTYPE;;3;41.00
478.00;-19357057#5_0;92.53;10.36;243.00;-0.94;19357539#1_0;5.10;11.37;tripinfo_511 routing_511;235.00;511;1;2015.52;1.02;0.00;55.91;DEFAULT_VEHTYPE;;1;35.00
479.00;19352037_0;416.55;11.84;0.00;-0.79;-19358499#1_1;5.10;11.85;tripinfo_63 routing_63;479.00;63;1;3134.60;1.06;0.00;213.84;DEFAULT_VEHTYPE;;4;170.00
486.00;19352131#10_1;34.15;9.24;222.00;-0.36;19355636_0;5.10;9.80;tripinfo_264 routing_264;264.00;264;1;2051.79;0.88;0.00;51.01;DEFAULT_VEHTYPE;;2;17.00
489.00;-19357057#4_0;43.74;9.92;272.00;-0.92;-19355160#3_0;5.10;10.05;tripinfo_502 routing_502;217.00;502;1;1933.19;0.90;0.00;21.93;DEFAULT_VEHTYPE;;0;0.00
500.00;-19356025#1_0;443.61;9.26;18.00;-0.39;-19352058_0;5.10;9.29;tripinfo_9 routing_9;482.00;9;1;3162.40;0.83;0.00;137.21;DEFAULT_VEHTYPE;;3;90.00
505.00;329995319#1_1;4.11;10.18;327.00;-0.86;19358499#0_1;5.10;10.51;tripinfo_343 routing_343;178.00;343;1;1535.59;0.94;0.00;29.82;DEFAULT_VEHTYPE;;1;3.00
506.00;-329995330#6_1;32.15;9.09;187.00;-0.53;19353318_0;5.10;10.07;tripinfo_378 routing_378;319.00;378;1;2554.50;0.90;0.00;59.31;DEFAULT_VEHTYPE;;5;5.00
509.00;19352770_0;143.12;10.01;77.00;-0.89;-576756561#0_0;5.10;10.52;tripinfo_418 routing_418;432.00;418;1;4120.64;0.94;0.00;35.60;DEFAULT_VEHTYPE;;0;0.00
516.00;19359987_0;174.26;9.84;169.00;-0.75;-19358499#0_1;5.10;11.12;tripinfo_92 routing_92;347.00;92;1;2711.12;0.99;0.00;102.86;DEFAULT_VEHTYPE;;3;54.00
531.00;-19353551#10_1;41.99;11.24;389.00;-0.08;19358587#0_1;5.10;11.66;tripinfo_667 routing_667;142.00;667;1;1317.14;1.04;0.00;26.19;DEFAULT_VEHTYPE;;2;2.00
532.00;-19356535#8_0;156.23;11.01;292.00;-0.21;-19353318_0;5.10;12.10;tripinfo_197 routing_197;240.00;197;1;2348.13;1.08;0.00;42.82;DEFAULT_VEHTYPE;;1;1.00
548.00;19360353#2_0;47.03;9.42;214.00;-0.16;19355636_0;5.10;10.07;tripinfo_147 routing_147;334.00;147;1;2795.36;0.90;0.00;50.31;DEFAULT_VEHTYPE;;3;5.00
